Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
American Samoa,ASM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,10.96339235,10.27319937,8.23177742,7.116745742,6.773101113,6.211767674,6.121703693,4.78374043,4.939139905,4.457444945,4.519128188,4.183445978,3.990074633,4.177577683,4.156458402,4.230733607,4.095350891,3.725817591,3.879533452,3.853373292,4.106819974,3.966907085,3.944996996,1.885689481,1.897373574,2.004203931,2.037756699,1.928296796,2.087003971,1.958471644,1.965416655,1.865775639,1.769130228,2.221826095,2.459150714,2.117343469,
Australia,AUS,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,7.033741759,8.550115912,9.5909003,7.231729841,6.316059785,6.152599829,5.454672039,7.758435544,7.877186637,6.692599806,6.100922656,4.435801979,6.133214017,5.673843039,5.091244733,4.958246096,5.208420676,5.364689773,4.584429283,3.477642792,3.347441719,3.546378237,3.639061323,3.308578251,3.713981273,3.55281644,3.315436985,3.326680323,3.384846872,3.835656398,4.307360092,3.17920143,3.37680067,3.159780873,2.975597122,2.400239336,2.519293188,2.461211752,2.369922114,2.463814908,2.421652626,2.402364843
Austria,AUT,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,5.917415719,5.120373937,5.111524525,4.959905349,5.005109162,4.596784158,4.218130769,3.954018415,4.188703215,3.655327588,3.747418731,3.712539624,3.549058393,3.503621303,3.586734331,3.255738862,2.839532682,2.549002882,2.740495299,2.467560259,2.287641313,2.217656345,2.077923419,2.007034215,1.908853875,1.935626752,1.813351033,1.742220706,1.729113167,1.494022765,1.534589309,1.668927022,1.58087957,1.363810994,1.511591878,1.673038079,1.596087871,1.508042371
Azerbaijan,AZE,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.03563158,32.30848574,28.50490407,28.48862115,32.99219397,27.28842832,27.5296626,21.73458154,18.92896334,19.1560716,17.14337347,16.10301355,15.17167667,13.46151481,11.84267051,9.895473393,7.500918359,7.002185706,5.970850713,6.6465395,5.920976527,5.393453691,5.492057227,5.64834977
Burundi,BDI,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,70.63165235,69.26077751,65.32475225,67.9571987,65.86793786,65.67059044,64.7906644,63.84403621,60.71442473,60.62203176,62.2498857,61.31928993,56.85609019,57.24614179,60.13098241,61.53723632,58.52472731,55.11138488,54.24503787,53.67857949,55.8787003,54.3107131,53.53346468,52.61869799,46.77810863,48.14459886,57.22159774,47.7270189,48.03144783,47.88993035,48.05965423,46.43665432,45.78611742,46.36023027,45.44476975,44.49652934,44.34355215,37.33609897,40.59095317,40.53228661,40.44849519,40.34738068,40.58240062,
Belgium,BEL,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.463138622,1.494401265,1.505221062,1.407012203,1.215844041,1.309198644,1.249123893,1.110255075,1.058019236,1.051143586,0.778762633,0.850994939,0.831245197,0.670713986,0.672753169,0.774102523,0.624541669,0.741968961,0.788201869
Benin,BEN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,46.15772312,46.19378569,44.70927263,43.71836972,45.52815224,44.61942496,45.14781984,42.08101317,38.86806904,38.4966628,36.32785235,34.35773597,34.23102232,33.62392035,31.53369578,30.53866654,33.19650629,31.85508537,34.5421439,34.99288605,35.43268847,32.66465236,32.5011997,33.15764431,33.31156053,31.54554888,33.67105901,33.27995076,34.38009319,37.85688479,34.65494537,35.0437735,33.94190413,34.11946079,32.29399456,33.09015959,35.70530039,35.78193016,36.57664979,35.76497205,34.92045344,34.54735874,33.75557992,32.09359222,32.25472316,32.28868101,32.43630996,31.33365215,32.26309785,32.38230491,32.44113046,,,
Burkina Faso,BFA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,39.81252659,39.62272413,39.48651939,40.0983149,40.54127251,37.17534114,37.77699419,34.20648564,32.35556065,32.79866475,31.35564881,31.99750095,33.18583807,30.81809418,32.27419654,30.31976033,30.79158641,30.35561266,31.92544698,30.26927142,29.40998742,30.72000492,28.4145506,28.22589406,29.11195056,35.18860556,30.86631082,28.88169502,29.93156045,28.89774248,29.14138953,31.2274237,30.17491623,31.37245493,35.52219498,35.83498799,39.39431009,36.77055174,39.56794507,32.92458079,29.28302671,37.04837406,38.55286306,37.07569451,34.52063888,39.03079602,36.72400318,32.74800398,40.24429826,35.64529455,35.35397058,33.81118237,35.33534053,
Bangladesh,BGD,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,31.5543184,31.70117471,31.17422557,30.68630451,32.29348801,32.76831115,31.93879712,32.42587351,31.05157408,30.35591023,30.25096794,30.36520119,29.38478792,26.25152713,25.6284899,26.38431848,25.67601183,25.78142393,25.44766787,26.17744348,25.51408614,24.09689501,22.73041716,21.75329256,21.03607584,20.14203289,19.61281397,19.24346501,19.01069898,18.72844738,18.58781574,18.28603376,17.67695306,17.21483162
Bulgaria,BGR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,14.61081185,17.04008304,17.16503665,14.49470065,15.8379265,11.92374691,13.14305642,11.41742202,10.92347786,10.6153453,17.0267182,16.94193443,12.93913469,11.30054835,13.34325978,14.69914709,14.59269472,24.94717759,17.18027964,14.76993643,12.63080791,12.16000325,11.03572873,10.43817899,9.997774561,8.453610776,7.168425195,5.583663243,7.157135227,4.840688865,4.901198413,5.399287412,6.398128566,
Bahrain,BHR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,0.98437098,1.012347548,1.057776481,1.153517516,1.116785179,1.194376929,1.368718954,1.342507202,1.180464505,1.135139026,0.949346076,0.88214117,0.909897895,0.851380825,0.860344103,0.862946647,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.333389248,2.190721649,2.084011629,2.085260293,,2.34391314,2.551210659,3.318907556,3.144474221,2.838003735,3.157496342,3.344744855,3.128055541,3.374874813,2.992721309,2.666727711,2.850292993,2.620122444,3.123889153,2.7654737,2.342788162,2.194145311,2.451847517,2.326734733,2.293187638,2.055177363,2.329858397,2.321126263,2.097478059,
Bosnia and Herzegovina,BIH,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.85332285,20.7,25.21315469,21.33744912,19.44020709,16.15335578,10.58301492,10.76126758,10.08915339,8.963525992,10.73575207,10.33258129,10.26476717,8.801428374,7.919462039,7.838390722,7.599480386,8.699478624,8.446774024,
Belarus,BLR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5450237,20.98803828,23.57232133,18.2883419,14.9995037,17.46044053,17.02530861,15.37783815,13.8722429,14.64210214,14.15322736,11.87493737,11.7752761,10.20404206,10.32874371,9.773648576,9.752111856,9.343416174,9.775957501,9.434591527,9.12482104,9.048805135,9.804845148,9.114301062
Belize,BLZ,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,31.36165145,30.76923077,27.43830787,26.13168724,22.51192369,21.48214821,20.83445491,20.37259615,20.95213849,22.74624374,22.28496142,20.38819876,19.98050682,18.28921384,17.63946763,16.70778592,16.86392059,17.77193939,17.75389691,17.40041906,16.73909478,17.28010924,16.75587904,15.1627304,14.77204616,16.80640233,16.59989063,15.38753372,14.74975514,13.39448138,12.6481496,12.78481088,13.20839917,13.10541138,,
Bermuda,BMU,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84450145,0.842514291,0.736600783,0.738588207,0.70624074,0.728889703,0.835399002,0.862432201,0.88688856,0.841630847,0.895565609,0.799296109,0.821071628,0.769959628,0.774351453,0.815180507,0.777583831,
Bolivia,BOL,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,20.78299974,20.93701872,20.18941295,21.03499628,22.00073919,21.79392464,21.2915903,20.84693159,19.12915515,18.58726299,19.01624318,19.27080102,17.626111,20.68747219,22.75380441,20.56370083,18.32860211,17.7165516,17.16372416,16.66770182,16.74085269,17.08879725,16.02685122,16.3290893,17.11495443,16.88361356,16.37743046,17.2406545,14.66998844,15.10590425,15.00764887,15.21536297,14.89878572,15.41800023,15.3746559,14.37801317,13.87611045,12.87739494,13.46940499,13.82934375,12.85313726,12.52910323,12.95219906,
Brazil,BRA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,20.59282045,19.49661152,17.35048945,16.7939137,17.28611784,18.70991788,15.69293877,15.10875997,14.05029152,13.21590681,12.3452632,12.85925941,12.99468156,13.3574872,12.92023443,12.09889632,13.00439895,14.67498588,11.61129227,11.01609103,11.01366772,10.73569424,8.967900584,10.93790659,11.46086133,11.54090033,11.15718936,10.0097597,10.11553876,8.518876828,8.1,7.79,7.72,7.56,9.850263575,5.771250392,5.513690332,5.396392373,5.524736835,5.473261496,5.602902758,5.973379533,6.61763262,7.385962598,6.913395164,5.708390758,5.483921707,5.562716551,5.914162259,5.626726234,5.304226816,5.456271013,5.319042412,5.70735969
Barbados,BRB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,21.49253731,20.24965326,19.35699933,23.07242991,19.88095238,20.01127396,19.62125197,19.18956684,14.62626263,11.96487377,10.97217881,9.403153153,9.870918755,10.36279816,10.69643973,13.3314302,9.492385787,10.3134483,9.315318976,9.180602007,9.90949911,6.974563096,6.843403451,7.140224196,6.709727383,6.236815372,6.37705141,6.867021577,6.481481792,5.162221611,3.831775701,3.896932379,3.878539708,3.638839711,2.764470274,3.539823009,3.717864515,2.968743092,2.219123741,2.687973935,2.302079602,2.445385139,2.19426948,2.270776713,1.888933387,1.81900045,1.716552275,1.564263201,1.606503311,1.620069284,1.580332429,1.4818141,1.469692031,
Brunei Darussalam,BRN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,1.33781821,1.335547213,1.10918347,1.017318066,1.08715347,0.902068196,0.634854457,0.693804542,0.843789381,0.984748704,1.065873459,1.212543374,1.927720227,1.930734886,2.216148334,0.961563421,0.966141827,1.022053479,0.965208804,1.077334037,1.198709595,1.161528018,1.122112852,1.227343527,1.410282596,1.234980377,1.024413103,1.134566838,1.093569131,1.222196523,1.127453456,0.946593274,0.706141843,0.689655172,0.635849769,0.908956973,0.759829576,0.628206533,0.715125253,0.725777246
Bhutan,BTN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,43.63844966,41.39601455,42.17817631,42.31561733,42.68185056,43.48254846,42.10864171,36.62268431,38.31603608,35.75144123,35.27825461,33.82891,34.35496721,32.22705057,34.86805922,32.01103726,31.16388719,31.20219924,29.53181628,27.27185569,27.3894211,26.13075654,26.34049017,25.18818204,24.92327699,23.1832509,22.13542152,19.23212393,18.96873294,18.74897939,17.49161459,16.91457368,18.10812513,17.72543651
Botswana,BWA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,43.36438793,41.87060187,40.45696794,39.38081427,38.43041083,33.84146341,39.29539295,,,,,,,,,29.87817469,26.82803833,24.8986095,20.59629883,16.4904502,14.68629513,14.27195686,11.67228444,9.011781255,7.653078805,6.386170078,5.687681145,6.699287967,5.960822937,4.966687372,4.853313466,4.817534847,5.20492944,5.009205067,4.079054837,4.909827728,3.947752675,3.811251203,3.42497222,3.254359168,3.049821512,2.807892931,2.592103833,2.972992916,2.53784554,2.032283133,2.254962384,2.494891061,2.78585407,3.268117544,3.220662718,2.766370024,2.930069702,2.536747274
Sub-Saharan Africa (IFC classification),CAA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,46.26439655,42.14876033,39.52254642,39.07769417,37.84402802,35.47010684,37.24695086,38.49128404,39.1634981,39.49329359,37.74842937,40.11859885,40.24076358,39.73663519,39.07563299,39.99999621,39.67361176,41.67380645,40.3707406,42.02692308,47.59643535,50.17658575,47.30539046,48.94085781,47.70393747,49.27621013,45.97148974,46.86938872,46.40304907,45.04485648,46.51164757,51.72400489,54.77925218,55.67640829,51.73117818,52.10210733,53.41252682,53.6245724,56.92451833,55.7058935,54.94295403,55.17718608,54.27945761,55.71647527,54.6342563,54.20115123,54.87214444,54.317498,
Canada,CAN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,6.487887336,7.045539723,5.465023453,5.394653841,5.328032788,4.723809951,4.414920024,4.191784058,5.570497954,5.723077278,5.275141873,4.693295275,4.108832775,4.441765693,4.618202167,4.316366661,4.217796395,3.877437918,3.472282924,3.486018072,3.4669889,3.527979013,3.098099443,2.994107762,2.959650997,2.862509582,2.74284223,2.73038752,2.804406436,2.748154455,2.90607832,3.002817962,2.501016275,2.576269825,2.483472464,2.276259338,2.237988252,2.179335795,2.09984984,2.167396569,1.840625422,1.660719177,1.686431041,1.906603906,,,,,
East Asia and the Pacific (IFC classification),CEA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5141045,10.15553879,10.34355715,9.608117683,9.149000439,8.840539314,8.475889955,8.110170127,7.167549887,6.434704168,5.844868871,6.064424007,5.479766524,5.222126105,5.622064448,4.711393857,4.42636132,4.157034221,4.117740656,3.775085064,3.657495605,,,
Europe and Central Asia (IFC classification),CEU,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.514880483,2.29329388,2.114064566,1.934394751,1.798554022,1.685170142,1.508120247,1.478351821,1.439699323,1.333683302,1.332133283,1.138469735,1.11520749,1.038425047,1.10640364,0.987660303,0.941328804,0.92627464,0.958280317,0.860451726,0.799148594,0.785010868,0.731279544,
Channel Islands,CHI,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,9.404402718,10.5715699,8.899233358,8.125829633,8.510897082,8.743169399,9.266409266,8.656716418,7.725321888,6.911764706,6.907216495,8.181096108,8.365508366,6.704106704,5.753900603,6.630766749,8.545279856,9.99855056,7.773920049,7.380709429,7.253159854,6.324888495,5.494167403,5.863050412,7.54085819,7.635754888,8.964973665,9.224611173,8.871018985,8.687262704,8.708563911,9.927558347,9.93380047,9.222462925,9.434019163,9.238634624,6.042556175,5.935907954,6.121745233,6.207362417,5.89506754,5.159719613,5.5190411,5.27280638,4.721343201,4.59277168,3.867738464,3.692403642,3.633655485,3.561871972,3.463978636,3.582180363,3.384738963,3.436057159
China,CHN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,23.38366507,36.1557377,39.42399722,40.33892808,38.44566713,37.94067945,37.59100642,40.26157055,42.15077477,37.98957635,35.21551915,34.05456644,32.8581073,33.35293469,33.8721818,32.39915924,32.84981486,29.423155,28.18856625,31.26564797,30.17392445,31.88068686,33.38875625,33.17965808,32.13197666,28.44261852,27.1400698,26.8110471,25.69572324,25.10500794,27.1161783,24.52631887,21.78990522,19.70843305,19.86124582,19.96227499,19.6910103,18.28710986,17.55595413,16.4702426,15.06303446,14.39172359,13.74274917,12.7973531,13.39314276,12.12302312,11.11345205,10.76971034,10.7315685,10.3331503,10.09522,10.03716006,10.08212511,10.01274143
Cote d'Ivoire,CIV,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,47.90792297,46.40683488,45.90405269,44.16710416,39.80135978,39.61846068,37.4403809,34.75976223,35.5611587,33.56880414,31.86676514,30.88032897,29.80047163,31.04990113,25.46684645,28.24445816,24.4793521,24.26585161,25.88063722,26.40238586,25.88027326,26.53399835,24.1253134,21.88195713,24.13447098,26.53757892,28.4615445,29.18235257,32.03932189,32.71644011,32.49842767,33.29394293,34.00968692,28.21520627,25.26363051,24.7276058,24.60262093,23.31929288,24.12114943,21.98939335,24.2156215,24.69955111,25.65428644,25.55537908,23.18172211,22.81608433,22.92430573,23.85368261,24.97847956,25.07792896,25.3192439,28.40300001,26.89205914,
Latin America and the Caribbean (IFC classification),CLA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa (IFC classification),CME,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,32.73182908,31.85079418,31.13330046,31.5057857,30.72351081,31.36392017,31.00411116,31.96504175,30.792829,29.53976476,29.1197122,27.61010905,33.64508248,31.35335451,30.82360287,31.27199216,29.39742062,28.66005643,24.31134078,23.76881242,21.57047735,22.36366396,24.81562877,24.66282911,26.11172765,24.57539141,24.79498173,27.27185284,20.5514877,23.80908091,23.63496874,23.58740156,24.7441626,25.33391343,24.35913581,22.13506273,22.16972073,22.13631871,21.74891808,20.47350463,19.53492334,19.85714544,19.71219347,,,,,,
"Congo, Rep.",COG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,23.60046338,20.49180095,19.80472225,20.954082,21.10970787,19.13580059,19.18819188,19.8630171,19.61414791,17.70683176,17.89473684,17.13640909,16.42512077,15.72847682,15.11710433,14.47688564,13.47753744,15.42553191,16.03630862,14.31372549,11.68146781,7.882591841,7.85915493,7.582582583,6.91704747,7.447436135,12.08970312,11.93728588,13.8670698,12.9345403,12.86089239,11.31780929,11.52756311,11.24851993,10.31393786,10.4525658,8.986689236,9.139190086,10.95556908,8.355757952,5.304252999,5.799931651,6.261580123,6.275223939,5.509406303,4.544180397,3.960322565,4.327298473,3.676951204,4.505897968,3.830400598,3.383117567,,
Colombia,COL,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,29.30987407,28.49646051,28.33321498,28.26220654,27.52158799,25.68515862,24.05361431,24.59311576,24.61837987,24.87507714,24.38788343,24.12750545,25.57464667,23.56027123,21.99908104,19.91112489,19.80134268,19.30392809,19.18011959,17.79984867,17.45161619,18.02962947,18.7166203,17.37315893,16.61764801,16.74809279,17.4222753,15.79826406,13.8791042,16.0759062,15.28357035,13.82056547,13.7090314,14.2628143,13.96067682,8.949563115,8.975418253,9.200239734,9.039716889,8.618620638,8.442211378,8.085936494,7.829878875,7.515543386,7.466255037,7.098480371,6.848857138,6.308938705,6.051806735
Comoros,COM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,34.01164929,34.19857613,33.47825983,34.9703494,34.63209037,36.11672899,37.40714393,37.97408242,39.46857522,40.88994852,41.42110057,39.65819331,39.51006273,39.11056919,37.61683753,40.89181219,40.89130631,40.89352261,40.92945658,40.9497772,48.55360201,49.9633972,50.15182297,50.54705897,50.93530102,51.015237,45.17689802,45.34372178,45.81208285,46.32095506,,,,
Cabo Verde,CPV,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,18.5600465,15.77264812,12.58012028,12.05682004,11.85648906,12.98960838,13.63127291,17.64634431,17.69673287,16.21087173,14.39070467,13.39300683,11.79420024,10.13642605,12.85895316,13.68056847,12.44848097,11.68065166,10.94724969,13.64336989,12.87178269,11.41576599,10.35147128,10.14369823,9.863467682,9.001187284,8.318712134,9.175125051,8.50478242,8.888342142,8.500513845,8.25677266,8.103553515,
Costa Rica,CRI,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,13.88013263,13.32586855,11.85824655,13.20240481,13.50152511,13.02873768,12.41595643,12.27183637,13.44004025,13.3447287,13.03534187,13.3903808,13.69618777,12.84740361,12.99235369,12.83326036,10.54177591,9.456459214,8.800597451,8.535744055,8.746773491,8.623275612,8.993400918,8.917804441,8.482637496,7.205679253,7.416051219,7.177987175,6.399889156,6.065037647,5.635268467
South Asia (IFC classification),CSA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,5.829254803,5.895750946,6.017730704,6.143781779,,5.805903058,5.661902612,5.700511916,5.799470987,6.332632456,6.252536074,6.475704711,6.164713134,5.790078517,5.529870485,5.311120801,4.778221008,4.622788911,4.442775073,4.173018625,3.913663511,3.753934447,3.877591284,3.55233875,3.626774492,3.864336747,3.808242174,3.830635531,3.603553497,
